Name,Designator,Footprint,Quantity,JLC PN

"","","","0",""
"SFP Cage","","","0",""
"100nF","C1, C2, C3, C5, C6, C9, C15, C16, C17, C18, C19, C22, C24, C25, C26, C30, C32, C34, C35, C36, C38, C39, C41, C44","0402","24","C307331"
"1uF","C4, C10, C20, C21, C23, C27, C28, C29, C31, C43","0402","10","C52923"
"22uF","C7, C8, C14, C37, C40, C42, C45, C46","0603","8","C59461"
"22pF","C12, C13","0402","2","C1555"
"100pF","C33","0402","1","C1546"
"RGB LED Common anode","D1, D2","1411","2",""
"LAN9250","IC1","QFN64","1","C633497"
"SD Card","J1","MEM2075","1",""
"SFP","J2","SFP Con and Cage","1",""
"UART/Power","J3","HDR1X6","1",""
"ICSP","J4","HDR1X5","1",""
"Red","Jp1","PCB Jumper NO","1",""
"Blue","Jp2","PCB Jumper NO","1",""
"Green","Jp3","PCB Jumper NO","1",""
"Ferrite Bead","L1, L2, L3, L4, L5","0402","5","C85817"
"1uH","L6, L7","0603","2","C307748"
"6.8uH","L8","1008","1","C162557"
"PIC32MX270F256B","MCU1","TSSOP28_Wide","1","C642007"
"10k","R1, R2, R15, R16, R17, R18, R19, R20","0402","8","C25744"
"4.7k","R3, R8, R9, R10, R11","0402","5","C25900"
"49.9","R4, R5","0402","2","C25120"
"82","R6, R7","0402","2","C2759472"
"1k","R12, R21, R22, R23, R24, R26","0402","6","C11702"
"130","R13, R14","0402","2","C174255"
"12.1k 1%","R25","0402","1","C2933069"
"182k","R27","0402","1","C226822"
"62k","R28","0402","1","C137950"
"Buck regulator","Reg1","TSOT26","1","C2071868"
"25MHz","X1","ECS-3225MV Oscillator","1","C9006"
